Product Usage Report,,
Jakata Salon,,
01/08/20 - 30/11/20 (Days: 122),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
IGORA Royal 4-6,3,16.65
IGORA ROYAL OPULESCENCE 6-78,13,74.88
Vibrance 4-0,2,9.84
IGORA Royal 7-0,16,88.80
igora dusted rouge 9-674,1,5.76
IGORA Royal 6-99,7,38.85
Igora Royal 4-998,1,5.76
Vibrance 8-11,17,83.64
IGORA Royal 8-65,1,5.55
TBH 7-49 C,1,6.42
IGORA Royal SW Grey Lilac,14,80.64
IGORA Color10 4-99,1,5.55
IGORA Royal 6-6,9,49.95
IGORA Color10 9-00,1,5.55
Page 5,,
IGORA Royal 5-00,4,22.20
IGORA Color10 7-5,1,5.55
IGORA Royal SW Silver,10,57.60
Igora Royal 6-299,1,5.76
IGORA Royal 5-65,4,22.20
IGORA Color10 7-7,1,5.55
Total,854,"4,577.60"
Total,1019,"5,980.10"
Page 6,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,8,0.00
Total,8,0.00
Total,8,0.00
Kevin.Murphy,,
Hair Products (Prep),#,Cost
Crystal.Angel,1,24.43
Total,1,24.43
Professional use only,#,Cost
YOUNG.AGAIN.WASH 1Ltr,1,33.01
Stimulate-me.rinse,1,24.43
SMOOTH.AGAIN.RINSE 1Ltr,1,22.21
SMOOTH.AGAIN.WASH 1Ltr,1,24.43
Total,4,104.08
Total,5,128.51
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 5-1,1,5.55
IGORA Colour10 7-00,4,22.20
IGORA Colour10 9-5,1,5.55
IGORA Colour10  6-0,3,16.65
Total,9,49.95
Total,9,49.95
Schwarzkopf Igora,,
Colour Tubes,#,Cost
c10 7-1,7,0.00
Total,7,0.00
Total,7,0.00
Page 7,,
RETAIL,,
Kevin.Murphy,,
Hair Products (Wet to Dry),#,Cost
STAYING.ALIVE,1,12.16
Total,1,12.16
Total,1,12.16
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Royal FL L-44,1,5.76
Total,1,5.76
Hair Products (Wet to Dry),#,Cost
peptide repair rescue sealed ends,2,14.34
Total,2,14.34
Total,3,20.10
Schwarzkopf Igora,,
Colour Tubes,#,Cost
IGORA COLOR10 8-4,2,11.10
Total,2,11.10
Total,2,11.10
Schwarzkopf Professional,,
Colour Tubes,#,Cost
VIBRANCE 6-16,8,39.36
VIBRANCE 5-16,1,0.00
Total,9,39.36
Total,9,39.36
Schwarzkopf Retail,,
Hair Products (Wet to Dry),#,Cost
"Chro ID Large Classic 9,5-1",1,21.00
Chro ID Bold Purple ,4,56.00
Chro ID Bold Pink ,2,28.00
Total,7,105.00
Total,7,105.00
Page 8,,
